"Population"	"Units"	"Date"	"Age"	"Ethnic Grou"	"region"	"Highest Level of Qualification"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"London"	"Apprenticeship"	"number"	1743	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"London"	"Level 3 qualifications"	"number"	57831	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"London"	"Level 4 qualifications and above"	"number"	59260	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"London"	"Other qualifications"	"number"	15690	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South East"	"No qualifications"	"number"	4522	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South East"	"Level 1 qualifications"	"number"	10131	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South East"	"Level 2 qualifications"	"number"	14014	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South East"	"Apprenticeship"	"number"	533	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South East"	"Level 3 qualifications"	"number"	17223	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South East"	"Level 4 qualifications and above"	"number"	13241	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South East"	"Other qualifications"	"number"	6565	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South West"	"No qualifications"	"number"	1081	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South West"	"Level 1 qualifications"	"number"	2520	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South West"	"Level 2 qualifications"	"number"	3465	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South West"	"Apprenticeship"	"number"	112	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South West"	"Level 3 qualifications"	"number"	5413	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South West"	"Level 4 qualifications and above"	"number"	3959	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"South West"	"Other qualifications"	"number"	2588	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Wales"	"No qualifications"	"number"	1047	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Wales"	"Level 1 qualifications"	"number"	1677	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Wales"	"Level 2 qualifications"	"number"	2043	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Wales"	"Apprenticeship"	"number"	69	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Wales"	"Level 3 qualifications"	"number"	3074	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Wales"	"Level 4 qualifications and above"	"number"	3378	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Asian/Asian British"	"Wales"	"Other qualifications"	"number"	2020	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North East"	"No qualifications"	"number"	139	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North East"	"Level 1 qualifications"	"number"	355	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North East"	"Level 2 qualifications"	"number"	376	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North East"	"Apprenticeship"	"number"	25	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North East"	"Level 3 qualifications"	"number"	572	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North East"	"Level 4 qualifications and above"	"number"	310	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North East"	"Other qualifications"	"number"	131	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North West"	"No qualifications"	"number"	1326	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North West"	"Level 1 qualifications"	"number"	2403	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North West"	"Level 2 qualifications"	"number"	3513	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North West"	"Apprenticeship"	"number"	158	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North West"	"Level 3 qualifications"	"number"	3494	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North West"	"Level 4 qualifications and above"	"number"	1822	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"North West"	"Other qualifications"	"number"	697	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"No qualifications"	"number"	1127	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	2332	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	2872	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	150	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	3407	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	1524	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Other qualifications"	"number"	620	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East Midlands"	"No qualifications"	"number"	1011	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 1 qualifications"	"number"	2214	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 2 qualifications"	"number"	3104	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East Midlands"	"Apprenticeship"	"number"	173	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 3 qualifications"	"number"	3815	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East Midlands"	"Level 4 qualifications and above"	"number"	1406	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East Midlands"	"Other qualifications"	"number"	498	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"West Midlands"	"No qualifications"	"number"	2468	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 1 qualifications"	"number"	4959	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 2 qualifications"	"number"	6910	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"West Midlands"	"Apprenticeship"	"number"	432	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 3 qualifications"	"number"	6060	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"West Midlands"	"Level 4 qualifications and above"	"number"	3050	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"West Midlands"	"Other qualifications"	"number"	985	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East"	"No qualifications"	"number"	1409	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East"	"Level 1 qualifications"	"number"	2849	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East"	"Level 2 qualifications"	"number"	4386	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East"	"Apprenticeship"	"number"	183	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East"	"Level 3 qualifications"	"number"	3922	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East"	"Level 4 qualifications and above"	"number"	1975	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"East"	"Other qualifications"	"number"	751	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"London"	"No qualifications"	"number"	13524	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"London"	"Level 1 qualifications"	"number"	29306	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"London"	"Level 2 qualifications"	"number"	42684	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"London"	"Apprenticeship"	"number"	1872	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"London"	"Level 3 qualifications"	"number"	32129	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"London"	"Level 4 qualifications and above"	"number"	23294	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"London"	"Other qualifications"	"number"	4604	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South East"	"No qualifications"	"number"	1456	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South East"	"Level 1 qualifications"	"number"	3253	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South East"	"Level 2 qualifications"	"number"	5000	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South East"	"Apprenticeship"	"number"	211	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South East"	"Level 3 qualifications"	"number"	5319	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South East"	"Level 4 qualifications and above"	"number"	2449	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South East"	"Other qualifications"	"number"	900	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South West"	"No qualifications"	"number"	798	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South West"	"Level 1 qualifications"	"number"	1328	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South West"	"Level 2 qualifications"	"number"	1652	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South West"	"Apprenticeship"	"number"	78	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South West"	"Level 3 qualifications"	"number"	1810	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South West"	"Level 4 qualifications and above"	"number"	770	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"South West"	"Other qualifications"	"number"	358	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Wales"	"No qualifications"	"number"	283	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Wales"	"Level 1 qualifications"	"number"	545	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Wales"	"Level 2 qualifications"	"number"	727	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Wales"	"Apprenticeship"	"number"	33	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Wales"	"Level 3 qualifications"	"number"	644	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Wales"	"Level 4 qualifications and above"	"number"	439	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Black/African/Caribbean/Black British"	"Wales"	"Other qualifications"	"number"	232	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North East"	"No qualifications"	"number"	204	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North East"	"Level 1 qualifications"	"number"	283	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North East"	"Level 2 qualifications"	"number"	234	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North East"	"Apprenticeship"	"number"	8	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North East"	"Level 3 qualifications"	"number"	337	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North East"	"Level 4 qualifications and above"	"number"	315	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North East"	"Other qualifications"	"number"	414	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North West"	"No qualifications"	"number"	817	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North West"	"Level 1 qualifications"	"number"	1195	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North West"	"Level 2 qualifications"	"number"	1102	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North West"	"Apprenticeship"	"number"	36	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North West"	"Level 3 qualifications"	"number"	1530	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 16 to 24"	"Other ethnic group"	"North West"	"Level 4 qualifications and above"	"number"	900	""
